subsector,tech,year,production_mt,capacity_mt,new_build_mt,direct_co2_mt,indirect_co2_mt,cost_meur
aluminium,alu_inert,2025,-0.0,0.0,-0.0,0.0,0.0,0.0
aluminium,alu_inert,2030,-0.0,-0.0,-0.0,0.0,0.0,0.0
aluminium,alu_inert,2035,0.7152499999999993,0.7152499999999993,0.7152499999999993,0.02002699999999998,1.115789999999999,1661.960860423023
aluminium,alu_inert,2040,1.8252499999999994,1.8252499999999994,1.11,0.051106999999999986,1.7084339999999993,4149.04574293289
aluminium,alu_inert,2045,2.7720000000000002,2.7720000000000002,0.9467500000000009,0.077616,1.4414400000000003,6159.822900024641
aluminium,alu_inert,2050,2.8,2.8,0.02799999999999958,0.0784,0.43679999999999997,6079.299333358223
aluminium,alu_ref,2025,2.925,2.925,0.0,4.2588,9.696375,7710.921305944999
aluminium,alu_ref,2030,2.8560000000000003,2.8560000000000003,0.6622500000000007,4.158336,6.55452,7444.199449497068
aluminium,alu_ref,2035,2.1247500000000006,2.1247500000000006,0.0,3.093636000000001,3.250867500000001,5583.444423010819
aluminium,alu_ref,2040,0.9867500000000009,1.3935000000000006,0.0,1.4367080000000012,0.9058365000000007,2767.705921524569
aluminium,alu_ref,2045,0.0,0.6622500000000007,0.0,0.0,0.0,226.52421003831705
aluminium,alu_ref,2050,0.0,0.6622500000000007,0.0,0.0,0.0,226.52421003831705
aluminium,alu_sec,2025,3.575,3.575,0.0,0.3003,0.59255625,3272.9388193447157
aluminium,alu_sec,2030,3.9439999999999995,3.9439999999999995,1.2627499999999992,0.331296,0.4525739999999999,3604.2534359428137
aluminium,alu_sec,2035,4.26,4.26,1.2097500000000005,0.35784,0.32588999999999996,3896.866362352024
aluminium,alu_sec,2040,4.588,4.588,1.2217500000000006,0.385392,0.21058919999999998,4206.266297105889
aluminium,alu_sec,2045,4.928,4.928,1.2337499999999997,0.41395200000000004,0.125664,4520.490680204408
aluminium,alu_sec,2050,5.2,5.2,0.27200000000000024,0.4368,0.03978,4772.650282683223
ammonia,ammonia_h2,2025,0.0,0.0,0.0,0.0,0.0,0.0
ammonia,ammonia_h2,2030,0.0,-0.0,0.0,0.0,0.0,0.0
ammonia,ammonia_h2,2035,-0.0,-0.0,0.0,0.0,0.0,0.0
ammonia,ammonia_h2,2040,1.75,1.75,1.75,0.0,0.09449999999999999,1472.781430076046
ammonia,ammonia_h2,2045,2.9000000000000004,2.9000000000000004,1.1500000000000004,0.0,0.08700000000000001,2240.5092269831625
ammonia,ammonia_h2,2050,2.9000000000000004,2.9000000000000004,0.0,0.0,0.026100000000000005,2104.2092269831624
ammonia,ammonia_smr,2025,16.0,16.0,0.0,25.984,0.52,9622.669379094921
ammonia,ammonia_smr,2030,13.6,13.6,1.5999999999999996,22.0864,0.306,9072.788972230685
ammonia,ammonia_smr,2035,10.35,10.35,0.75,16.8084,0.15525,7589.8292546020275
ammonia,ammonia_smr,2040,6.35,6.35,0.0,10.3124,0.05714999999999999,5216.8859098282965
ammonia,ammonia_smr,2045,2.0999999999999996,2.3499999999999996,0.0,3.4103999999999997,0.010499999999999999,1868.6495650545664
ammonia,ammonia_smr,2050,0.0,2.3499999999999996,0.0,0.0,0.0,189.82556505456668
ammonia,ammonia_smr_ccs,2025,-0.0,0.0,-0.0,0.0,0.0,0.0
ammonia,ammonia_smr_ccs,2030,2.4,2.4,2.4,1.63968,0.1296,1422.4595171966375
ammonia,ammonia_smr_ccs,2035,4.65,4.65,2.25,3.1768800000000006,0.1674,2838.366814568486
ammonia,ammonia_smr_ccs,2040,6.9,6.9,2.25,4.71408,0.14903999999999998,4423.199911940334
ammonia,ammonia_smr_ccs,2045,9.0,9.0,2.1,6.1488000000000005,0.108,5949.643189487391
ammonia,ammonia_smr_ccs,2050,11.1,11.1,2.1,7.58352,0.039959999999999996,7560.20406703445
cement,cement_altfuel,2025,26.7,26.7,26.7,11.796059999999999,0.780975,3242.490809233684
cement,cement_altfuel,2030,52.95,52.95,26.25,23.39331,1.0722375000000002,7549.69589696343
cement,cement_altfuel,2035,78.75,78.75,25.8,34.79175,1.063125,12959.226263189235
cement,cement_altfuel,2040,99.0365890159537,99.0365890159537,20.286589015953695,43.75436502724834,0.8021963710292249,18893.17080292663
cement,cement_altfuel,2045,99.0365890159537,99.0365890159537,0.0,43.75436502724834,0.44566465057179167,20617.595890872417
cement,cement_altfuel,2050,75.8365890159537,99.0365890159537,0.0,33.504605027248346,0.1023793951715375,17703.225881147726
cement,cement_ccs,2025,-0.0,0.0,-0.0,0.0,0.0,0.0
cement,cement_ccs,2030,4.483410984046309,4.483410984046309,4.483410984046309,0.28227555555555545,0.1815781448538755,571.0128232624074
cement,cement_ccs,2035,22.4164990117182,25.12341098404631,20.64,1.4113427777777774,0.6052454733163914,3040.6216504455015
cement,cement_ccs,2040,45.283410984046306,45.283410984046306,20.16,2.851043555555554,0.7335912579415501,5986.777083767769
cement,cement_ccs,2045,64.9634109840463,64.9634109840463,19.68,4.090096355555554,0.5846706988564169,8698.941731734649
cement,cement_ccs,2050,84.1634109840463,84.1634109840463,19.2,5.298928355555552,0.22724120965692501,11396.032969925407
cement,cement_clinkersub,2025,-0.0,-0.0,0.0,0.0,0.0,0.0
cement,cement_clinkersub,2030,-0.0,-0.0,0.0,0.0,0.0,0.0
cement,cement_clinkersub,2035,-0.0,-0.0,0.0,0.0,0.0,0.0
cement,cement_clinkersub,2040,-0.0,-0.0,0.0,0.0,0.0,0.0
cement,cement_clinkersub,2045,0.0,-0.0,0.0,0.0,0.0,0.0
