subsector,tech,year,production_mt,capacity_mt,new_build_mt,direct_co2_mt,indirect_co2_mt,cost_meur
glass,glass_elec,2035,6.800000000000001,6.800000000000001,6.800000000000001,1.1342400000000001,1.1219999999999999,1711.8893620365186
glass,glass_elec,2040,13.600000000000001,13.600000000000001,6.800000000000001,2.2684800000000003,1.3464,3461.1787240730378
glass,glass_elec,2045,20.200000000000003,20.200000000000003,6.6000000000000005,3.3693600000000004,1.1110000000000002,5112.7903989908355
glass,glass_elec,2050,20.000000000000004,20.000000000000004,6.6000000000000005,3.3360000000000007,0.33000000000000007,5034.368711872115
glass,glass_hybrid,2025,0.0,0.0,-0.0,0.0,0.0,0.0
glass,glass_hybrid,2030,7.0,7.0,7.0,2.226,0.9450000000000001,1664.1791125448906
glass,glass_hybrid,2035,7.949999999999999,7.949999999999999,0.9499999999999993,2.5281,0.7154999999999999,1955.3809921045538
glass,glass_hybrid,2040,13.199999999999996,13.199999999999996,5.249999999999997,4.197599999999999,0.7127999999999997,3405.0703265132206
glass,glass_hybrid,2045,12.799999999999997,12.799999999999997,6.6000000000000005,4.070399999999999,0.3839999999999999,3357.566377224942
glass,glass_hybrid,2050,12.999999999999996,12.999999999999996,1.1499999999999986,4.133999999999999,0.11699999999999998,3466.5783518690814
glass,glass_ng,2025,35.0,35.0,0.0,17.009999999999998,1.365,7855.937423744227
glass,glass_ng,2030,28.0,28.0,1.75,13.608,0.756,6575.389938995381
glass,glass_ng,2035,19.25,19.25,0.0,9.3555,0.3465,4825.500583059325
glass,glass_ng,2040,7.200000000000003,10.5,0.0,3.4992000000000014,0.07776000000000002,2032.4212271232689
glass,glass_ng,2045,0.0,-0.0,-0.0,0.0,0.0,0.0
glass,glass_ng,2050,0.0,-0.0,0.0,0.0,0.0,0.0
hvc,hvc_bio,2025,0.0,0.0,0.0,0.0,0.0,0.0
hvc,hvc_bio,2030,-0.0,-0.0,0.0,0.0,0.0,0.0
hvc,hvc_bio,2035,-0.0,-0.0,0.0,0.0,0.0,0.0
hvc,hvc_bio,2040,-0.0,-0.0,0.0,0.0,0.0,0.0
hvc,hvc_bio,2045,-0.0,-0.0,0.0,0.0,0.0,0.0
hvc,hvc_bio,2050,0.0,-0.0,0.0,0.0,0.0,0.0
hvc,hvc_ccs,2025,0.0,0.0,-0.0,0.0,0.0,0.0
hvc,hvc_ccs,2030,-0.0,-0.0,-0.0,0.0,0.0,0.0
hvc,hvc_ccs,2035,4.699999999999999,4.699999999999999,4.699999999999999,1.3637049999999997,0.3102,4092.7220907963997
hvc,hvc_ccs,2040,11.149999999999999,11.149999999999999,6.45,3.235172499999999,0.44154,9799.1711914638
hvc,hvc_ccs,2045,15.55,15.55,4.400000000000002,4.5118325,0.34210000000000007,13699.599514496604
hvc,hvc_ccs,2050,15.55,15.55,0.0,4.5118325,0.10263000000000001,13733.090326996602
hvc,hvc_elec,2025,0.0,0.0,-0.0,0.0,0.0,0.0
