country,target_name,reported,description,progress,expected_impact,quantities_in_text
IE,Public Sector Pathfinder,True,"In the public sector, the SEAI has been operating a Pathfinder programme providing opportunities for public sector bodies to implement pilot retrofit projects. 
Through the Pathfinder projects, public bodies learn how to replicate retrofit successfully across their wider building estates.","The SEAI Pathfinder Programme, co-funded with building portfolio owners, provides capital funding for implementing building retrofit approaches in the public sector. The programme is targeted particularly at public sector portfolio managers, where retrofit and decarbonisation options. New Programme principles are proposed and policy recommendations made. Activity can be coordinated centrally and is aimed at testing building retrofit approaches and developing a model that can be replicated and scaled across the wider public sector. 
SEAI has carried out a review of this programme; the learnings of the review will continue to inform decision-making on retrofit and decarbonisation options.  New Programme principles are proposed and policy recommendations made.",N/A,0
IE,Buildings - retrofit,True,"The Plan sets out targets for the significant improvement of the energy efficiency of our building stock with a target of the equivalent of 500,000 existing buildings to be retrofitted to a B2 Building Energy Rating or cost optimal by 2030.","In the period 2019- 2024, over 201,000 home upgrades have been supported under SEAI and Local authority retrofit schemes. Of this, over 65,000 were to a B2 level.


Significant demand for the SEAI schemes continued in 2024 with almost 70,000 applications for grant support received– up 4% on 2023. In 2023, grant support was provided for almost 48,000 upgrades. In 2024, it was almost 54,000.  There was 21,817 B2 upgrades completed which is up 24% on 2023 and 105% of 2024 target.

The system is ramping up towards delivering an average of 75,000 homes per year for the second half of the decade.","Equivalent of 120,000 dwellings retrofitted to BER B2 cost optimal and 45,000 existing dwellings using heat pumps by 2025.",0
IE,Buildings - NZEB,True,"All new dwellings will be built to NZEB standard from 1 November 2019. All new ""Buildings other than dwellings"" are built to NZEB from 1st Jan 2019.",In effect,New homes will be 70% more energy efficient and will emit 70% less carbon dioxide than 2005 performance levels. buildings should be less energy intensive and therefore cheaper to run than less efficient buildings. Other impacts may be improved air quality and comfort.,0
IE,Heating – heat policy statement,True,The CAP commits to the publication of a National Heat Policy Statement that will draw on the evidence of the National Heat Study and set out the overarching approach to decarbonising the heat sector in Ireland.,"In order to finalise the Strategic Environmental Assessment on the draft Heat Policy Statement, a public consultation will be undertaken. Following completion of public consultation process, the draft Policy Statement will be submitted to Government for approval.",The National Heat Policy Statement will set out the overarching approach to decarbonising the heat sector in Ireland.,0
IE,Heating – Social Housing Retrofit,True,Phase 2 of the social housing retrofit programme to bring dwellings to a B2 equivalent BER.,"In 2024, 2,634 social homes were retrofitted by Local Authorities. Heat Pumps were installed on 2,393 of these properties representing 90.85% installation of heat pumps on those LA homes retrofitted.

Since the programme commenced in 2021, 8,400 dwellings have been retrofitted to B2/Cost Optimal levels with heat pumps installed in 7,256 homes.","Continue rollout of Social Housing National Retrofitting Programme with retrofitted properties required to reach a minimum BER B2 and incorporating heat pump deployment targets ensuring 36,500 LA owned homes are retrofit to 2030.",0
IE,Heat and Built Environment Taskforce,True,"The Heat and Built Environment Taskforce (HBET) was established in 2023 to ensure a coordinated approach to the accelerated implementation of climate actions designed to deliver energy-efficient buildings heated through renewable sources.

The Taskforce oversees the development and delivery of policies from across Government Departments and Agencies to ensure they are aligned and manages risks to delivery.

HBET members include senior officials from Government Departments and Agencies responsible for delivering energy-use optimisation in Ireland’s building stock, in line with the Climate Action Plan.

The HBET Focus Group acts on cross-cutting issues arising in Working Groups and serves as an advisory and escalation forum.

Seven Working Groups report to the Taskforce on:

•	Industrial Heat Decarbonisation
•	Commercial Built Environment
•	Public Sector Heat and Built Environment
•	Residential Retrofit
•	Biomethane
•	District Heating 
•	Unallocated Savings","The Heat and Built Environment Taskforce (HBET) has met thirteen times since its inception. The Minister for Environment, Climate and Communications has attended the majority of HBET meetings. 

The HBET has prepared an updated Implementation Plan for 2025 to be reported on quarterly.

The HBET is in the process of revising its operation and has produced a progress report in relation to actions up to 2024.",N/A,0
IE,Heating – heat pumps,True,"A shift to alternative heating sources for residential heating is also set out in the Plan, with a target of 680,000 heat pumps installed over the period 2021-2030, with 400,000 of these in existing dwellings.","In the period 2019 to end January 2025 almost 14,500 heat pumps have been installed under the SEAI energy efficiency upgrade schemes.

In addition, most recent figures from Dept of Housing, Local Government and Heritage show that in the period 2021-24 there were a further 7,256 heat pumps installed under the Local Authority Energy Efficiency Retrofit Programme.

This totals almost 21,750 heat pumps delivered across both SEAI and Local authority Schemes and is 48.3% of 2025 target and 5.4% of 2030 target.","Equivalent of 120,000 dwellings retrofitted to BER B2 cost optimal and 45,000 existing dwellings using heat pumps by 2025.",0
IE,Public sector – energy efficiency,True,50% energy efficiency and 51% emission reduction targets by 2030.,"A Public Sector Building Register is being developed as part of an enhanced Monitoring and Reporting (M&R) System, managed by the SEAI. This enhanced M&R system will provide important insights into which buildings are generating the most emissions and will help to prioritise and sequence capital investments for decarbonisation strategies across the sector. 

Achievements in 2022 (the most recent data available) include 4,627GWh annual primary energy savings,32.5% energy efficiency improvement 3.9% fossil CO2 emission reduction, and €327m energy spend savings for the sector.",N/A,1
IE,Transport - biofuel,True,"With respect to renewable transport fuels, CAP maintains previous commitments to increase the renewable biofuel content of motor fuels through an annual increase in the rate of the Renewable Transport Fuel Obligation, such that an E10:B20 equivalent is reached by 2030","In 2024, the RTFO delivered a 9% ethanol blend in petrol and a 10.2% HVO/biodiesel blend in diesel, on track to meet the CAP 2025 interim targets of E10/B12. Regulations enacted in 2023 introduced a minimum blend of 5.5% ethanol in petrol.",Modelling analysis projects a saving of 1.08 MtCO2eq by 2030 from the CAP target of E10/B20 by 2030.,0
IE,Heating - boilers,True,"Progressively phase out oil and gas boilers in existing dwellings through a combination of incentives, information, and regulatory measures and the development of a Roadmap for the Phase Out of Fossil Fuel Heating Systems.","In addition to amendments made to the building regulations to end the installation of fossil fuel boilers in both new and existing residential buildings, a roadmap is being developed for the phase out of fossil fuel heating systems.

The roadmap will be informed by international experience, and will produce a timeline of key actions and implementation measures.

The roadmap will be aligned with the National Building Renovation Plan required by under the Energy Performance in Building Directive (EPBD).",The roadmap to phase out fossil fuel heating systems will set out a suite of policies and actions to phase out fossil fuel heating systems by 2040.,0
